"polish"	"indpol_hindi"	"indpol_marathi"	"hindi_meaning"	"marathi_meaning"	"english_meaning"	"pos"	"level"
"mieć"	"मिेच"	"म्येच"	"पास होना"	"असणे"	"to have"	"verb"	"B1"
"mieć nadzieję"	"मिेच नअजिेयएं"	"मइएच नअजिएयएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to hope]"	"to hope"	"noun"	"A1"
"mieć zamiar"	"मिेच ज़अमिअर"	"मइएच ज़अमइअर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to intend]"	"to intend"	"noun"	"B1"
"miecz"	"मिेच"	"मइएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: sword]"	"sword"	"noun"	"B1"
"miejsce"	"मिेयसत्से"	"मइएयसत्सए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: place]"	"place"	"noun"	"A1"
"miękki"	"मिएंककि"	"मइएंककइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: soft]"	"soft"	"noun"	"A2"
"miesiąc"	"मिेशिओंत्स"	"मइएशिओंत्स"	"महीना"	"महिना"	"month"	"noun"	"B1"
"mięsień"	"मिएंशिेञ"	"मइएंशिएञ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: muscle]"	"muscle"	"noun"	"B1"
"mięso"	"मिएंसो"	"मइएंसओ"	"मांस"	"मांस"	"meat"	"noun"	"B1"
"mieszać"	"मिेशअच"	"मइएशअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to stir]"	"to stir"	"verb"	"B1"
"mieszkanie"	"मिेशकअनिे"	"मइएशकअनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: flat]"	"flat"	"noun"	"B1"
"Mila"	"मिलअ"	"मइलअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: mile]"	"mile"	"noun"	"A2"
"milion"	"मिलिोन"	"मइलइओन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: million]"	"million"	"noun"	"B1"
"miły"	"मिवि"	"मइवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"B1"
"mimo że"	"मिमो झे"	"मइमओ झए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: although]"	"although"	"noun"	"A2"
"minuta"	"मिनुतअ"	"मइनउतअ"	"मिनट"	"मिनिट"	"minute"	"noun"	"B1"
"miód"	"मिउद"	"मइउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"B1"
"misja"	"मिसयअ"	"मइसयअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: mission]"	"mission"	"noun"	"C1"
"miska"	"मिसकअ"	"मइसकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bowl]"	"bowl"	"noun"	"B2"
"mistrz"	"मिसतझ"	"मइसतझ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: master]"	"master"	"noun"	"A2"
"mleko"	"मलेको"	"मलएकओ"	"दूध"	"दूध"	"milk"	"noun"	"B1"
"młody"	"मवोदि"	"मवओदइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: young]"	"young"	"noun"	"A1"
"młodzież"	"मवोजिेझ"	"मवओजिएझ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: youth]"	"youth"	"noun"	"B1"
"mnie"	"मनिे"	"मनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: me]"	"me"	"noun"	"A1"
"mniej"	"मनिेय"	"मनिएय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: less]"	"less"	"noun"	"A1"
"mnóstwo"	"मनउसतवो"	"मनउसतवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: plenty]"	"plenty"	"noun"	"B2"
"moc"	"मोत्स"	"मओत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: power]"	"power"	"noun"	"A1"
"moda"	"मोदअ"	"मओदअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: fashion]"	"fashion"	"noun"	"B1"
"modlić się"	"मोदलिच शिएं"	"मओदलइच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to pray]"	"to pray"	"noun"	"B1"
"modlitwa"	"मोदलितवअ"	"मओदलइतवअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: prayer]"	"prayer"	"noun"	"B1"
"mógłby"	"मउगवबि"	"मउगवबइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: could]"	"could"	"noun"	"A1"
"mój"	"मउय"	"मउय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: my]"	"my"	"noun"	"A1"
"mokry"	"मोकरि"	"मओकरइ"	"गीला"	"ओला"	""	"noun"	"B1"
"moralność"	"मोरअलनोशच"	"मओरअलनओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: moral]"	"moral"	"noun"	"B2"
"morderstwo"	"मोरदेरसतवो"	"मओरदएरसतवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: murder]"	"murder"	"noun"	"A2"
"morze"	"मोझे"	"मओझए"	"समुद्र"	"समुद्र"	"sea"	"noun"	"B1"
"most"	"मोसत"	"मओसत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bridge]"	"bridge"	"noun"	"B1"
"motyl"	"मोतिल"	"मओतइल"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"B1"
"mowa"	"मोवअ"	"मओवअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: speech]"	"speech"	"noun"	"B1"
"mówić"	"मउविच"	"मुविच"	"बोलना"	"बोलणे"	"to speak"	"verb"	"B1"
"może"	"मोझे"	"मओझए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to may]"	"to may"	"noun"	"A1"
"mózg"	"मउज़ग"	"मउज़ग"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: brain]"	"brain"	"noun"	"B1"
"możliwość"	"मोझलिवोशच"	"मओझलइवओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: possibility]"	"possibility"	"noun"	"B2"
"możliwy"	"मोझलिवि"	"मओझलइवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: possible]"	"possible"	"noun"	"A1"
"mu"	"मु"	"मउ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: him]"	"him"	"noun"	"A1"
"mucha"	"मुखअ"	"मउखअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"B1"
"musi"	"मुशि"	"मउशि"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to shall]"	"to shall"	"noun"	"A1"
"musieć"	"मुशिेच"	"मउशिएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to must]"	"to must"	"verb"	"A1"
"muzyk"	"मुज़िक"	"मउज़इक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"B1"
"muzyka"	"मुज़िकअ"	"मउज़इकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: music]"	"music"	"noun"	"A2"
"my"	"मि"	"मइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: we]"	"we"	"noun"	"A1"
"myć"	"मिच"	"मइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to wash]"	"to wash"	"verb"	"B1"
"mylić"	"मिलिच"	"मइलइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to confuse]"	"to confuse"	"verb"	"C1"
"myśl"	"मिशल"	"मइशल"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: thought]"	"thought"	"noun"	"A1"
"myśleć"	"मिशलेच"	"मइशलएच"	"सोचना"	"विचार करणे"	"to think"	"verb"	"B1"
"na"	"नअ"	"नअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: on]"	"on"	"noun"	"A1"
"na bok"	"नअ बोक"	"नअ बओक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: aside]"	"aside"	"noun"	"B1"
"na dół"	"नअ दउव"	"नअ दउव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: down]"	"down"	"noun"	"A1"
"na górze"	"नअ गउझे"	"नअ गउझए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: upstairs]"	"upstairs"	"noun"	"B2"
"na około"	"नअ ोकोवो"	"नअ ओकओवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: around]"	"around"	"noun"	"A1"
"na pewno"	"नअ पेवनो"	"नअ पएवनओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: certainly]"	"certainly"	"noun"	"A2"
"na pokrycie"	"नअ पोकरिचिे"	"नअ पओकरइचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to cover]"	"to cover"	"noun"	"A1"
"na sprzedaż"	"नअ सपझेदअझ"	"नअ सपझएदअझ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to sell]"	"to sell"	"noun"	"A2"
"na wskroś"	"नअ वसकरोश"	"नअ वसकरओश"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: throughout]"	"throughout"	"noun"	"B2"
"na zakończenie"	"नअ ज़अकोञचेनिे"	"नअ ज़अकओञचएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to conclude]"	"to conclude"	"noun"	"B2"
"na zawsze"	"नअ ज़अवशे"	"नअ ज़अवशए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: forever]"	"forever"	"noun"	"B1"
"na zewnątrz"	"नअ ज़ेवनओंतझ"	"नअ ज़एवनओंतझ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: out]"	"out"	"noun"	"A1"
"nachylenie"	"नअखिलेनिे"	"नअखइलएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: slope]"	"slope"	"noun"	"C1"
"naciągać"	"नअचिओंगअच"	"नअचिओंगअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to strain]"	"to strain"	"verb"	"B2"
"nacisnąć"	"नअचिसनओंच"	"नअचिसनओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to press]"	"to press"	"noun"	"A2"
"nadal"	"नअदअल"	"नअदअल"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: still]"	"still"	"noun"	"A1"
"nadgarstek"	"नअदगअरसतेक"	"नअदगअरसतएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: wrist]"	"wrist"	"noun"	"B2"
"nagi"	"नअगि"	"नअगइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bare]"	"bare"	"noun"	"B1"
"nagle"	"नअगले"	"नअगलए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: suddenly]"	"suddenly"	"noun"	"A1"
"nagły"	"नअगवि"	"नअगवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: sudden]"	"sudden"	"noun"	"A2"
"nagroda"	"नअगरोदअ"	"नअगरओदअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: reward]"	"reward"	"noun"	"C1"
"najmniej"	"नअयमनिेय"	"नअयमनिएय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: least]"	"least"	"noun"	"A1"
"najwyraźniej"	"नअयविरअज़निेय"	"नअयवइरअज़निएय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: apparently]"	"apparently"	"noun"	"B1"
"nalegać"	"नअलेगअच"	"नअलएगअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to insist]"	"to insist"	"verb"	"B1"
"należeć"	"नअलेझेच"	"नअलएझएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to belong]"	"to belong"	"verb"	"A2"
"należny"	"नअलेझनि"	"नअलएझनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: due]"	"due"	"noun"	"B1"
"namiot"	"नअमिोत"	"नअमइओत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: tent]"	"tent"	"noun"	"B2"
"naprawdę"	"नअपरअवदएं"	"नअपरअवदएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: really]"	"really"	"noun"	"A1"
"naprawić"	"नअपरअविच"	"नअपरअवइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to fix]"	"to fix"	"verb"	"A2"
"Naprzód"	"नअपझउद"	"नअपझउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: forward]"	"forward"	"noun"	"A1"
"när kiedykolwiek"	"नäर किेदिकोलविेक"	"नäर कइएदइकओलवइएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: whenever]"	"whenever"	"noun"	"B2"
"naród"	"नअरउद"	"नअरउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: nation]"	"nation"	"noun"	"B2"
"narodziny"	"नअरोजिनि"	"नअरओजिनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: birth]"	"birth"	"noun"	"B2"
"narzeczona"	"नअझेचोनअ"	"नअझएचओनअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"B1"
"narzekać"	"नअझेकअच"	"नअझएकअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to complain]"	"to complain"	"verb"	"B2"
"nas"	"नअस"	"नअस"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: us]"	"us"	"noun"	"A1"
"następnie"	"नअसतएंपनिे"	"नअसतएंपनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: then]"	"then"	"noun"	"A1"
"następujący"	"नअसतएंपुयओंत्सि"	"नअसतएंपउयओंत्सइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: following]"	"following"	"noun"	"A2"
"nastrój"	"नअसतरउय"	"नअसतरउय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: mood]"	"mood"	"noun"	"B2"
"nasz"	"नअश"	"नअश"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: our]"	"our"	"noun"	"A1"
"Natura"	"नअतुरअ"	"नअतउरअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: nature]"	"nature"	"noun"	"A2"
"naturalnie"	"नअतुरअलनिे"	"नअतउरअलनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: naturally]"	"naturally"	"noun"	"C1"
"naturalny"	"नअतुरअलनि"	"नअतउरअलनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: natural]"	"natural"	"noun"	"A2"
"natychmiast"	"नअतिखमिअसत"	"नअतइखमइअसत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: immediately]"	"immediately"	"noun"	"A2"
"nauczać"	"नअुचअच"	"नअउचअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"verb"	"B1"
"nauczyciel"	"नअुचिचिेल"	"नअउचइचिएल"	"शिक्षक"	"शिक्षक"	"teacher"	"noun"	"B1"
"nauka"	"नअुकअ"	"नअउकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: science]"	"science"	"noun"	"B2"
"nawyk"	"नअविक"	"नअवइक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: habit]"	"habit"	"noun"	"B1"
